modelo,repeticao,pergunta,edital,tema,item_esperado,configuracao,status,valores_esperados,erro_conferencia,correta,referenciada,correta_com_referencia,item_recuperado,citou_item,tokens_entrada,latencia_ms,resposta
Claude Sonnet 5,1,q01-reg,Subvenção Regional,valores,3.1,Doc. inteiro,answered,true,,true,true,true,true,true,22102,5732,"O valor total de recursos não reembolsáveis do FNDCT comprometidos nesta Seleção Pública é de até R$ 300.000.000,00 (trezentos milhões de reais) [sec-d2-3.1], dividido entre os grupos de concorrência da seguinte forma: - R$ 150.000.000,00 (cento e cinquenta milhões de reais) para projetos realizados na região Nordeste [sec-d2-3.1]; - R$ 100.000.000,00 (cem milhões de reais) para projetos realizados na região Centro-Oeste [sec-d2-3.1]; - R$ 50.000.000,00 (cinquenta milhões de reais) para projetos realizados na região Norte [sec-d2-3.1]. Esse limite poderá ser suplementado em função de acréscimo de recursos orçamentários e financeiros [sec-d2-3.1.1]. Além disso, no mínimo 30% (trinta por cento) dos recursos destinados a cada grupo de concorrência serão aplicados em projetos submetidos por empresas com receita operacional bruta inferior a R$ 4.800.000,00 (quatro milhões, oitocentos mil reais), desde que classificados conforme critérios do Edital [sec-d2-3.1.3]."
Claude Sonnet 5,1,q01-reg,Subvenção Regional,valores,3.1,RAG vetorial,answered,true,,true,true,true,true,true,10015,7096,"O valor total previsto é de **R$ 300.000.000,00 (trezentos milhões de reais)**, do Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT), dividido entre os grupos de concorrência da seguinte forma [c_0b1ae5] (item 3.1): - a) R$ 150.000.000,00 (cento e cinquenta milhões de reais) para projetos realizados na região Nordeste [c_0b1ae5]; - b) R$ 100.000.000,00 (cem milhões de reais) para projetos realizados na região Centro-Oeste [c_0b1ae5]; - c) R$ 50.000.000,00 (cinquenta milhões de reais) para projetos realizados na região Norte [c_0b1ae5]. Esse limite poderá ser suplementado em função de acréscimo de recursos orçamentários e financeiros (item 3.1.1) [c_0b1ae5]."
Claude Sonnet 5,1,q01-reg,Subvenção Regional,valores,3.1,Configuração híbrida,answered,true,,true,true,true,true,true,9849,4209,"O valor total previsto é de até R$ 300.000.000,00 (trezentos milhões de reais), oriundos do Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT), dividido entre os grupos de concorrência da seguinte forma [c_0b1ae5]: - Região Nordeste: R$ 150.000.000,00 (cento e cinquenta milhões de reais) [c_0b1ae5] - Região Centro-Oeste: R$ 100.000.000,00 (cem milhões de reais) [c_0b1ae5] - Região Norte: R$ 50.000.000,00 (cinquenta milhões de reais) [c_0b1ae5] Esse limite poderá ser suplementado em função de acréscimo de recursos orçamentários e financeiros [c_0b1ae5]."
Claude Sonnet 5,1,q01-reg,Subvenção Regional,valores,3.1,Configuração com busca adicional,answered,true,,true,true,true,true,true,10022,5535,"O valor total de recursos previstos nesta Seleção Pública é de até R$ 300.000.000,00 (trezentos milhões de reais), provenientes do Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT), dividido entre os grupos de concorrência da seguinte forma [c_0b1ae5]: - R$ 150.000.000,00 (cento e cinquenta milhões de reais) para projetos realizados na região Nordeste [c_0b1ae5]; - R$ 100.000.000,00 (cem milhões de reais) para projetos realizados na região Centro-Oeste [c_0b1ae5]; - R$ 50.000.000,00 (cinquenta milhões de reais) para projetos realizados na região Norte [c_0b1ae5]. Esse limite poderá ser suplementado em função de acréscimo de recursos orçamentários e financeiros (item 3.1.1) [c_0b1ae5]."
Claude Sonnet 5,1,q01-tec,MIB R2 — Tecnologias Digitais,valores,4,Doc. inteiro,answered,true,,true,true,true,true,true,25806,5682,"O valor total de recursos não reembolsáveis disponibilizados nesta Seleção Pública é de até R$ 300.000.000,00 (trezentos milhões de reais) [sec-d2-4]. Detalhamentos adicionais: - Do total, é assegurada destinação mínima de R$ 90.000.000,00 a projetos cujas principais atividades de execução ocorram nas regiões Norte, Nordeste ou Centro-Oeste [sec-d2-4]. - Para um mesmo Grupo de Concorrência (linha temática), poderão ser concedidos recursos até o limite de R$ 100.000.000,00 [sec-d2-4]."
Claude Sonnet 5,1,q01-tec,MIB R2 — Tecnologias Digitais,valores,4,RAG vetorial,answered,true,,true,true,true,true,true,8173,4190,"O valor total de recursos não reembolsáveis previsto nesta Seleção Pública é de até R$ 300.000.000,00 (trezentos milhões de reais) [c_6ffd27] (item 4 do Anexo 1). Detalhamentos adicionais sobre essa dotação: - É assegurada destinação mínima de R$ 90.000.000,00 (noventa milhões de reais) a projetos cujas principais atividades de execução ocorram nas regiões Norte, Nordeste ou Centro-Oeste [c_6ffd27]. - Poderão ser concedidos recursos para projetos de um mesmo Grupo de Concorrência (linha temática) até o limite de R$ 100.000.000,00 (cem milhões de reais) [c_6ffd27]."
Claude Sonnet 5,1,q01-tec,MIB R2 — Tecnologias Digitais,valores,4,Configuração híbrida,answered,true,,true,true,true,true,true,12927,4338,"O valor total de recursos não reembolsáveis previstos para esta Seleção Pública é de até R$ 300.000.000,00 (trezentos milhões de reais) [c_6ffd27]. Detalhamentos complementares (item 4 do Anexo 1): - É assegurada destinação mínima de R$ 90.000.000,00 (noventa milhões de reais) a projetos cujas principais atividades de execução ocorram nas regiões Norte, Nordeste ou Centro-Oeste [c_6ffd27]. - O limite de recursos para projetos de um mesmo Grupo de Concorrência (linha temática) é de até R$ 100.000.000,00 (cem milhões de reais) [c_6ffd27]. - Caso haja disponibilidade de recursos adicionais, decorrente de acréscimo de recursos orçamentários, novas propostas poderão ser avaliadas [c_1ca531]."
Claude Sonnet 5,1,q01-tec,MIB R2 — Tecnologias Digitais,valores,4,Configuração com busca adicional,answered,true,,true,true,true,true,true,13100,4006,"O valor total de recursos não reembolsáveis disponibilizados nesta Seleção Pública é de até R$ 300.000.000,00 (trezentos milhões de reais) [c_6ffd27]. Detalhes adicionais (item 4 do Anexo 1): - Destinação mínima de R$ 90.000.000,00 (noventa milhões de reais) a projetos cujas principais atividades de execução ocorram nas regiões Norte, Nordeste ou Centro-Oeste [c_6ffd27]. - Limite de R$ 100.000.000,00 (cem milhões de reais) por Grupo de Concorrência (linha temática) [c_6ffd27]. - Caso haja disponibilidade de recursos adicionais, decorrente de acréscimo de recursos orçamentários, novas propostas poderão ser avaliadas nos termos do Regulamento [c_1ca531]."
Claude Sonnet 5,1,q01-agr,Agricultura Familiar para ICTs 2026,valores,4.1,Doc. inteiro,answered,true,,true,true,true,true,true,29023,5593,"O valor total de recursos não reembolsáveis previsto para esta Chamada Pública é de até R$ 150.000.000,00 (cento e cinquenta milhões de reais) [sec-d1-4.1], distribuídos entre as Linhas Temáticas da seguinte forma: - Linha Temática 1 (Bioinsumos): R$ 50.000.000,00 [sec-d1-4.1.1] - Linha Temática 2 (Sistemas de produção agroecológicos e orgânicos): R$ 50.000.000,00 [sec-d1-4.1.2] - Linha Temática 3 (Soluções digitais para a pequena propriedade rural): R$ 25.000.000,00 [sec-d1-4.1.3] - Linha Temática 4 (Aquicultura de espécies nativas): R$ 25.000.000,00 [sec-d1-4.1.4] Não havendo demanda qualificada suficiente em alguma linha, os valores poderão ser realocados entre as linhas, respeitados os critérios de ranqueamento do edital [sec-d1-4.2]."
Claude Sonnet 5,1,q01-agr,Agricultura Familiar para ICTs 2026,valores,4.1,RAG vetorial,answered,true,,true,true,true,true,true,6814,4507,"O valor total de recursos previstos para esta Chamada Pública é de até R$ 150.000.000,00 (cento e cinquenta milhões de reais), oriundos do Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT), distribuídos da seguinte forma [c_b46a8e]: - Linha Temática 1: R$ 50.000.000,00 (cinquenta milhões de reais) [c_b46a8e] - Linha Temática 2: R$ 50.000.000,00 (cinquenta milhões de reais) [c_b46a8e] - Linha Temática 3: R$ 25.000.000,00 (vinte e cinco milhões de reais) [c_b46a8e] - Linha Temática 4: R$ 25.000.000,00 (vinte e cinco milhões de reais) [c_b46a8e] Não havendo demanda qualificada suficiente em alguma Linha Temática, os valores poderão ser realocados entre as linhas, respeitados os critérios de ranqueamento do edital (item 4.2) [c_b46a8e]."
